Origin,Dest,Reporting_Airline,avg_delay,rank,origin_lat,origin_lng,destination_lat,destination_lng
ATL,AUS,AA,0.0,1.0,33.6407,-84.4277,30.1945,-97.6699
ATL,AUS,DL,10.653132758872498,2.0,33.6407,-84.4277,30.1945,-97.6699
ATL,BNA,DL,9.29010345257385,1.0,33.6407,-84.4277,36.1263,-86.6782
ATL,BOS,DL,12.715445876558734,1.0,33.6407,-84.4277,42.3656,-71.0052
ATL,BOS,UA,15.0,2.0,33.6407,-84.4277,42.3656,-71.0052
ATL,BWI,DL,10.415921455818898,1.0,33.6407,-84.4277,39.1754,-76.6684
ATL,CLT,AA,13.647955647955648,2.0,33.6407,-84.4277,35.214,-80.9431
ATL,CLT,DL,8.961623616236162,1.0,33.6407,-84.4277,35.214,-80.9431
ATL,DCA,AA,14.8415015641293,2.0,33.6407,-84.4277,38.8512,-77.0377
ATL,DCA,DL,13.111802530595313,1.0,33.6407,-84.4277,38.8512,-77.0377
ATL,DEN,DL,9.82552701633211,1.0,33.6407,-84.4277,39.8561,-104.6737
ATL,DEN,UA,14.078362864986277,2.0,33.6407,-84.4277,39.8561,-104.6737
ATL,DFW,AA,17.95601010898752,2.0,33.6407,-84.4277,32.8998,-97.0403
ATL,DFW,DL,13.132390062441877,1.0,33.6407,-84.4277,32.8998,-97.0403
ATL,DTW,DL,9.46781696235396,1.0,33.6407,-84.4277,42.2121,-83.3534
ATL,EWR,DL,19.425963488843813,1.0,33.6407,-84.4277,40.6895,-74.1745
ATL,EWR,UA,25.502457790126098,2.0,33.6407,-84.4277,40.6895,-74.1745
ATL,IAH,DL,12.125288634225605,1.0,33.6407,-84.4277,29.9902,-95.3414
ATL,IAH,UA,17.25148205928237,2.0,33.6407,-84.4277,29.9902,-95.3414
ATL,JFK,AA,0.0,1.0,33.6407,-84.4277,40.6413,-73.7781
ATL,JFK,DL,14.662182129247997,2.0,33.6407,-84.4277,40.6413,-73.7781
ATL,LAS,DL,10.170460816777044,1.0,33.6407,-84.4277,36.0801,-115.1523
ATL,LAX,AA,13.048348348348348,2.0,33.6407,-84.4277,33.9416,-118.4085
ATL,LAX,DL,12.495333703273976,1.0,33.6407,-84.4277,33.9416,-118.4085
ATL,LAX,UA,24.6,3.0,33.6407,-84.4277,33.9416,-118.4085
ATL,MCO,DL,14.163561152395944,1.0,33.6407,-84.4277,28.4312,-81.3081
ATL,MIA,AA,19.705355036565223,2.0,33.6407,-84.4277,25.7959,-80.2906
ATL,MIA,DL,13.811286549707605,1.0,33.6407,-84.4277,25.7959,-80.2906
ATL,ORD,AA,16.81197665567115,3.0,33.6407,-84.4277,41.9742,-87.9073
ATL,ORD,DL,15.210511794730309,2.0,33.6407,-84.4277,41.9742,-87.9073
